condition_id,repetition,mode_key,threads,prompt_bytes,requests,p50_us,p95_us,p99_us,throughput_rps
inline-0469,10,policy_only,4,16384,1000,5.792,6.125,7.168659999999998,538358.0080753701
inline-0470,14,evidence:full,4,16384,1000,16021.8745,19969.360749999996,28982.24066,241.18181503112856
inline-0471,0,evidence:none,8,2048,1000,258.25,283.96635,497.0125,31789.72192512961
inline-0472,4,evidence:none,4,16384,1000,215.208,264.7625,309.8424999999999,17758.703824883836
inline-0473,16,evidence:full,1,2048,1000,4065.9165,7136.922899999995,12943.219489999996,195.96549023574
inline-0474,8,evidence:none,8,16384,1000,492.7915,675.3672999999999,753.42458,15361.199481104826
inline-0475,16,policy_only,8,16384,1000,6.208,11.338149999999995,38.5855,641659.8971547517
inline-0476,16,policy_only,1,16384,1000,5.542,5.792,5.87542,177197.6091789779
inline-0477,16,evidence:full,8,128,1000,32006.562,62118.39435,122039.91616999995,240.76391984126434
inline-0478,2,evidence:full,1,2048,1000,4004.458,5028.30895,8030.03158,238.24724363728947
inline-0479,1,evidence:none,8,128,1000,22.666,397.4451999999985,3616.375839999996,38652.135113021934
inline-0480,3,policy_only,8,16384,1000,6.375,11.379149999999996,32.01791999999998,757002.271006813
inline-0481,17,evidence:none,1,16384,1000,82.7495,103.34549999999999,128.62833,10648.063392521339
inline-0482,17,evidence:full,1,128,1000,4008.4585,5219.38545,7989.52167,237.17260368860357
inline-0483,11,evidence:full,1,16384,1000,5012.167,9509.093449999995,12618.512169999995,168.62947511272407
inline-0484,13,evidence:none,1,128,1000,29.417,40.54615,47.70842,32142.455362165118
inline-0485,2,policy_only,4,128,1000,0.167,0.542,0.7924099999999996,2550480.3829801343
inline-0486,3,policy_only,1,2048,1000,0.792,0.875,0.9594099999999997,884597.2163494796
inline-0487,16,policy_only,1,2048,1000,0.75,0.834,0.875,952229.5025457856
inline-0488,19,evidence:none,8,16384,1000,460.063,537.10065,561.6699100000001,17089.257808748374
