condition_id,run_id,record_count,repetition,sampled_leaf_index,seal_epoch_ns,build_tree_ns,generate_proof_ns,verify_proof_ns,verify_signature_ns,root_matches,proof_valid,signature_valid
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,14,10866,102691792,43047083,875,3916,26334,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,15,18785,101556708,41612042,1042,4041,25917,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,16,26704,97281292,41555792,875,4042,25750,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,17,34623,105146833,40914833,1083,5625,33250,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,18,42542,95552750,40790625,1083,4042,25750,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,19,50461,98502958,42959833,1000,4167,25708,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,20,58380,96743916,43266625,1042,4791,27167,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,21,66299,101295916,41200625,958,3792,24625,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,22,74218,96428166,42420833,917,3916,23625,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,23,82137,95082334,41480542,1250,3917,26000,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,24,90056,97552083,41938916,792,3875,25625,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,25,97975,98049417,41019041,792,3708,25250,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,26,5894,97382417,41140125,1042,3833,26167,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,27,13813,97960709,43461250,1375,4000,25458,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,28,21732,95514417,42481709,916,4000,25042,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,29,29651,97166000,41516708,1875,3750,28583,true,true,true
